,Name,style,IBU,ABV,Description
105,Captain Sparkles,Australian Sparkling Ale,30,6.1,"Australian seamen tell the tale of Captain Sparkles, whose heroic actions at the helm of HMAS Coonawarra saved 39 Royal Australian Officers from certain death upon the rocky coast of Queensland during the great hurricane of 1835. It is only through a recently discovered photograph that we have learned that the intrepid Captain Sparkles was not a man, but a mustachioed Koala.

Sun King celebrates Captain Sparkles and other brave mustachioed folks like him this Movember with Captain Sparkles Australian Style Sparkling Ale, a refreshing golden ale with a smooth malty character and slight hop bitterness. Read Less"
106,Vitamin Sea,Australian Sparkling Ale,20,4.5,Australian Sparkling Ale
107,Union Series #3: Southern Cape,Australian Sparkling Ale,47,4.4,"Inspired by sparkling ales that are traditionally brewed in South Australia, this ale has aromas of pineapple and mango with a light toasted flavor. Unfiltered and lightly hopped, it is highly carbonated. Read Less"
108,Laughing Water,Australian Sparkling Ale,35,5.2,Australian Sparkling Ale
109,Bright Pineapple,Australian Sparkling Ale,3,4.1,"Dry and effervescent, this extremely light ale is all about the fresh pineapple aroma and refreshing"
110,Bright Tangerine,Australian Sparkling Ale,21,4.0,Australian Sparkling Ale
111,Fulton & Wood My Shout,Australian Sparkling Ale,32,5.0,"Winters are a time when we turn to warmer climates and places we don’t have to worry if seven layers of clothing will be enough. Our brewers wanted to bring you there without leaving your bar stool with their latest F&W release, My Shout. Named for an Australian way of calling the next round of beers, My Shout brings a style to Chicago that has rarely been seen in the US. Brewed specially with an Australian sparkling ale yeast, hints of apricot and stone fruit combined with mild but spicy and citrusy hops make My Shout a refreshing way to forget about the subzero temperatures here and take a 16-ounce trip to summer down under. Read Less"
120,Double Barrel V.S.O.J. Cherry Rye,Barleywine - American,55,14.5,"Tart cherry rounds out the most ridiculous beer we’ve produced to date. Slightly sweet, slightly tart, and subtly fruity, this sipper is satisfyingly staggering. Read Less"
125,Bishop's Barrel No. 10,Barleywine - American,32,12.7,"The base beer for Bishop’s Barrel No. 10 is 20th Anniversary Ale, a barleywine fermented with our Saint Arnold house yeast. The base beer is brewed with Maris Otter, pale two row, Munich and Chocolate malted barley and features Centennial and Cascade hops, with a dry hopping of Simcoe.

BB10 beer pours a deep ruby color with a lingering khaki colored head. The aroma is caramel, bourbon and vanilla with slight wood and dark cherry notes. The taste is dark fruit with bourbon notes and lots of toffee sweetness that lingers without being cloying. This beer has a full body with soft carbonation. Read Less"
126,Beer Line Barley Wine (Organic Rye Whiskey Barrel Aged),Barleywine - American,53,14.0,"This is our most ambitious beer release in 27 years. We held it for 18 months in Catoctin Creek distilling Company organic rye whiskey barrels, making it the fist organic barrel-aged barley wine in the United States. The extended barrel aging imparted aromas of rich vanilla and caramel that captivate the nose. While the oak, contributed full malt, and toffee flavors. The finish is elegant, rich, and warming. Read Less"
128,Double Barrel V.S.O.J. Rye,Barleywine - American,55,16.6,"Two years, two barrels, frickin’ yuge, man. A stupefying Barrel-Aged Barleywine boasting extraordinary barrel and spirit character, but with a refinement and balance from extended aging and ample residual malt presence. First year's rest in a mix of either Old Forester or Woodford Reserve, 2nd year resting in Heaven Hill Rye Barrels. Tread lightly. Read Less"
129,Maltose Falcons,Barleywine - American,32,13.6,"A tribute to 40 years of inspiration and innovation. English Brown malt, drum roasted Caramel malt, Chocolate malt and a healthy dose of brown sugar, together with West Coast American hops created a luscious Barley Wine class Brown Ale. Loads of rich, silky cocoa dusted malt character with a sturdy yet elegant balance on hop spice and boozy barrel accents. Aged seven months in Rum, Brandy and Bourbon barrels and bottled for the Maltose Falcons 40th Anniversary. Read Less"
133,Brewer's Reserve Brandy Barrel Barleywine,Barleywine - American,80,14.8,Barleywine - American
143,Iced Bourbon Barrel Barleywine,Barleywine - American,80,17.8,Barleywine - American
153,Barrel Aged Old Numbskull,Barleywine - American,96,11.0,Barleywine - American
154,The Virtue of Patience,Barleywine - American,30,12.0,"Glory is impermanent. We age, we wither, we perish. And our death bed is adorned in our finest moments. We welcome our Forestry Camp to the world with this fine strong ale. Aged in Bourbon Barrels for 15 months. This foray of our head production brewer exudes muscadine, toasted marshmallow, oak, dark chocolate and vanilla on the aroma, leading into flavors caramel, toasted coconut, vanilla, bourbon, and dates. Read Less"
155,Deep Flux,Barleywine - American,20,14.3,Barleywine - American
159,Four Year Aged Bourbon Barrel Barleywine 2022,Barleywine - American,80,14.9,Barleywine - American
161,Mineshaft Gap,Barleywine - American,30,14.3,Barleywine - American
163,King Henry,Barleywine - English,60,13.4,"Aged in Pappy Van Winkle 23 bourbon barrels, previously used to age Rare Bourbon County Brand Stout. King Henry is a burgundy hued English-style barleywine with aromas of vanilla, oak, and dark fruit. Caramel and toffee flavors blend together with bold notes of bourbon delivered in a smooth body followed by a malty finish. No matter the occasion, King Henry promises a regal drinking experience. Read Less"
167,V.S.O.J. (Very Special Old Jacket),Barleywine - English,23,13.8,Barleywine - English
169,Brew 5000 (2021),Barleywine - English,30,12.2,Barleywine - English
174,Brew 4000 (2020),Barleywine - English,33,12.7,"This English-style barleywine ale uses floor-malted English barley, Noble hops, and extended barrel-aging to bring you a complex and subtle craft beer flavor experience. We brewed this to celebrate brewing our 4000th brew, and we look forward to sharing it with you, our craft beer family. Read Less"
180,Arcane Rituals (2019),Barleywine - English,30,13.59,"The crackling magic of Chevallier Heritage Malt courses through this English-style barleywine. A combination of bourbon, brandy, and VSOP cognac barrels cast a spirited spell over the brew and mix to manipulate space and time, opening a viscous liquid portal into what surely must be immortality. Read Less"
184,Straight Jacket (November 2019),Barleywine - English,25,15.8,"Our original award-winning Barleywine Ale–made with American and Belgian malts and forged over 12 months in bourbon barrels. Open one and dig into layers of stone fruit, molasses, and vanilla. All the rich decadence of crème brûlée without the exhausting need to actually make pudding and take a blowtorch to it. This is the Barleywine for the people. Read Less"
185,Anabasis (Blend #1),Barleywine - English,40,14.0,"Anabasis is a Barleywine that was brewed with American malts and hops, but fermented with a strong English Ale strain. This Barleywine was aged for 18 months in a single Wine and Cheese Place Blanton's barrel before being bottle conditioned for several more months before being released. Read Less"
186,The Obscure,Barleywine - English,38,10.2,Collaboration with American Solera. Rum-barrel aged English-style 
188,Straight Jacket (2018),Barleywine - English,30,13.1,"Our Barleywine Ale features American and Belgian malts which provide the base of this extraordinary ale. After 12 months in bourbon barrels the award-winning Straight Jacket emerges with notes of stone fruit, toasted coconut, molasses, and vanilla coming in waves as you swirl the glass. Read Less"
189,Intrepid Orchid (2020),Barleywine - English,20,13.25,"Intrepid Orchid is a formidable 13.25% ABV barleywine built on Chevallier Heritage malt, then aged with Madagascar vanilla beans using the same intricate method we apply to Fundamental Observation, our legendary Imperial Vanilla Stout. Read Less"
190,Altar of the Orc Lord Aged In Bourbon Barrels: Rocky Road Edition,Barleywine - English,45,12.5,Barleywine - English
194,Bourbon County Brand Barleywine,Barleywine - English,60,13.6,Barleywine - English
196,Omega Point,Barleywine - English,60,10.0,Barleywine - English
198,Sucaba,Barleywine - English,42,13.5,"Confoundingly unpronounceable yet eminently drinkable—welcome to §ucaba, an epic barrel-­aged English barley wine whose original name was undone by a two­‐bit legal challenge. Big, boozy bourbon and American oak aromas combine with soft chocolate malty undertones. Complex malt ﬂavors are framed in oak with hints of dark chocolate, vanilla, tobacco, coconut and just a touch of dark cherry. §ucaba is built to last and can age for years to come (we recommend counting the years with an abacus). Read Less"
203,Brew 6000 (2022),Barleywine - English,30,11.9,Barleywine - English
205,Bourbon County Brand Coffee Barleywine (2018),Barleywine - English,60,15.1,"Working with our friends at Intelligentsia, we flew down to Guatemala to source some of the world's best coffee to use as we release the first-ever Coffee Barleywine. The beer is an English-style Barleywine, meaning malt forward, and aged in 4+ year old Heaven Hill Bourbon barrels before adding La Soledad coffee beans right before packaging to retain a bold coffee aroma and flavor. Read Less"
206,Leon,Barleywine - English,42,14.8,"Leon Jay Coker. Craftsman, soldier, father. Born in Lily, Florida. Died in Arcadia, Florida. "
217,Grand Prestige Vatgerijpt,Barleywine - Other,23,11.3,"Grand Prestige is a classic recipe from out friends at Hertog Jan in the Netherlands. We brewed this beer to their specifications here in Chicago, but we added a new depth to the flavor by barrel aging it in a combination of first and second use bourbon barrels. Read Less"
225,Pillar of Beasts,Barleywine - Other,18,13.7,Barleywine - Other
232,Barrel Aged Naked Evil BBW Belgian-Style Barleywine,Barleywine - Other,48,11.3,"Aging in oak barrels added a memorable richness, that we seek to achieve with this barrel aged Belgian-style barley wine-style ale. Being the ideal celebration beer to release on our 5-year anniversary, Barrel Aged Naked Evil is fermented with both British and Belgian yeasts and aged in whiskey barrels for a lightly spicy twist on this old-world beer style. Sweet malt flavors will become smoother and rich dark fruit characters will build with time, to add a wonderful complexity and depth of flavor. Read Less"
238,Charleywine,Barleywine - Other,17,14.2,Barleywine - Other
240,The Lunar Pendulum of Vacant Light,Barleywine - Other,10,12.0,Barleywine - Other
244,Excessive And Lustful Kissing,Barleywine - Other,24,14.4,Barleywine - Other
250,The Virtue of Patience (2020),Barleywine - Other,30,12.5,"Glory is impermanent. We age, we wither, we perish. And our death bed is adorned in our finest moments. We welcomed our Forestry Camp to the world with this fine strong ale. Aged in Bourbon Barrels for 12 months. This foray of our head production brewer exudes toffee, toasted marshmallow, oak, dark chocolate and vanilla on the aroma, leading into flavors caramel, toasted coconut, vanilla, bourbon, and dates. Read Less"
255,There's Nuttin' Butter Than A Nice Pair of Cam Pants,Barleywine - Other,15,10.0,"Nutter Butter inspired barleywine with peanut butter, lactose and vanilla. Collaboration"
272,Flanders Blonde,Belgian Blonde,15,7.1,Belgian Blonde
280,Flanders Blonde Kriek,Belgian Blonde,9,7.1,Belgian Blonde
281,Reine des Renards,Belgian Blonde,14,8.3,Flemish Blonde fermented in a 14 year old French Calvados Foedre with native yeasts and raw a
284,Vanilla Latte Blonde Ale,Belgian Blonde,15,5.6,Belgian Blonde
287,Devil's Fruit Basket,Belgian Blonde,31,9.5,Belgian Blonde
290,Golden Gremlin,Belgian Blonde,45,10.0,"A BSG on blackberries, aged in tequila barrels and dry hopped with hal"
292,Tangled Up In Blueberry,Belgian Blonde,3,5.9,Belgian Blonde
298,Pining For the Fjords,Belgian Blonde,24,5.6,Belgian Blonde
299,Hoppy Belgian Style Ale,Belgian Blonde,40,6.7,Belgian Blonde
303,Fraggo,Belgian Blonde,40,6.5,"This Belgian-Gnomish style ale is as great as your garden gnome, but with strawberri"
304,"Hermanne 1882 [2012 vintage, 2014 release]",Belgian Blonde,20,6.6,"2012 grape vintage, brewed 2013, bottled/released in June 2014. Hybrids are common in the world of viticulture, as growers attempt to produce the best and most tolerant grape. Hermann Muller, of Thurgau Switzerland did just than in 1882 as he crossed Reisling with Madeleine Royale to create the Muller-Thurgau grape. Now, a new hybrid has formed at Oakshire as our Brewmaster work with Anne Amie Vineyards to create this beer/wine hybrid. We used Anne Amie's classic Muller Thurgau grapes and artfully blended it with a Belgian Golden Ale and matured it with Brettanomyces in Anne Amie's Pinot Noir barrels for a year. Hermanne is light and crisp, with a complex fruity middle and dry tannic finish. Read Less"
309,Experimental IPA #3,Belgian Blonde,34,6.8,Summer Bel
312,Double Barrel Dubbel,Belgian Dubbel,20,9.9,Belgian Dubbel
316,Bourbon Barrel Aged St. Benedict's Breakfast Dubbel,Belgian Dubbel,24,7.2,Our Belgian-Style Dark Ale brewed with coffee and oatmeal and than aged for eight months in Oak Heaven Hill Bourb
321,Bourbon Barrel Deduction,Belgian Dubbel,20,8.5,Belgian Dubbel
325,Lorica Aged in Jameson Barrel,Belgian Dubbel,20,8.0,Belgian Dubbel
327,A Pleasant Country,Belgian Dubbel,20,8.0,Sagamore rye barrel aged Belgian double with Marciano cherries added in t
331,"""Coconut Curry"" St. Benedict's Breakfast",Belgian Dubbel,18,7.2,Belgian Dubbel
332,Bishop's Barrel No. 16,Belgian Dubbel,23,8.4,Bishop's Barrel No. 16 is another foray into the world of blurring beer and wine. We aged our Sorachi Ace Dubbel in Bordeaux red wine barrels - predominantly Cabernet Franc and Cabernet Sauvignon - for 11 months in the presence of brettanomyces. Read Less
333,Bourbon Barrel Abbey With Cherries,Belgian Dubbel,15,8.8,Belgian Dubbel
334,Mixed Dubbels Curling,Belgian Dubbel,26,8.5,Belgian Dubbel
335,Priory of Orion,Belgian Dubbel,26,9.9,Belgian Dubbel
338,Windowpane Series: Fig & Raisin,Belgian Dubbel,15,8.9,Belgian Dubbel
339,Red Rum Double Dubbel,Belgian Dubbel,23,9.0,Belgian Dubbel
340,The FNG,Belgian Dubbel,25,8.0,Belgian Dubbel
344,Moscatel Barrel Deduction,Belgian Dubbel,20,8.5,"Unlock the Vault, our barrel series committed to the careful, prolonged conditioning and blending of barrel-aged ales. Claim a special-release Deduction dubbel aged in Portuguese Moscatel wine barrels and blended to feature sweet, rich and dynamic notes of fig, marmalade and vanilla. Enjoy immediately or store under lock and key. Read Less"
347,Wooden Beanie,Belgian Dubbel,28,7.0,We age our Abbey Brown or Two Blind Monks in Jack Daniels Barrels with Madagascar Vanilla Beans. This beer is very rare and we make very small batches. Read Less
348,Bishop's Barrel No. 20,Belgian Dubbel,26,8.5,"Sorachi Ace Dubbel Aged in Red Wine Barrels with Brettanomyces and Raspberries.

Bishop’s Barrel No. 20 continues to expand on our wine inspired beers. For this release, we adapted BB16 - a Belgian-Style Dubbel aged in Red Wine Barrels with Brettanoymces - and expanded on it by adding a small amount of raspberries, which was added to every third barrel.

The resulting beer pours a ruby/blood red hue with a sandy colored head. Dark fruit, red wine, and an earthy/spiced funk are pronounced in the aroma with subtle notes of cherry almond in the back. The flavor is candied dry fruit upfront, with an oak and wine finish. It finishes dry with a slight tartness and medium body. Read Less"
351,Sprout,Belgian Dubbel,30,7.6,"Sneaky fig dubbel ale Whole figs gives this refreshing Dubbel a tricky, sweet aroma and amber hue that belie it’s clean, "
352,Belgian Christmas Ale,Belgian Dubbel,30,8.0,Belgian Dubbel
353,Dubbel On Tundra,Belgian Dubbel,22,8.0,Belgian Dubbel
354,Jimmy's Trip Home,Belgian Dubbel,24,9.1,Belgian Dubbel
355,Barrel-Aged Tarantula Belgian Dubbel Ale,Belgian Dubbel,19,10.0,Belgian Dubbel
358,The Bifurcation Project: Double Chocolate Habanero St. Benedict's Breakfast,Belgian Dubbel,18,7.2,Belgian Dubbel
361,Dubbel Or Nothing,Belgian Dubbel,23,7.2,Belgian Dubbel
363,Communal,Belgian Enkel / Patersbier,14,4.4,Belgian Enkel / Patersbier
365,Great Silence,Belgian Enkel / Patersbier,27,6.4,Belgian Enkel / Patersbier
368,Coconut Milk Lux,Belgian Enkel / Patersbier,36,5.8,"Milk blonde ale aged on toasted coconut. Lightly sweet, mild creamy mouthfeel, subtle coconut flavor. Delightful, intriguing, and "
369,Brother’s Bier,Belgian Enkel / Patersbier,32,4.8,Belgian Enkel / Patersbier
371,The B-Side,Belgian Enkel / Patersbier,15,5.8,Black Patersbier. Toasty and nutty undertones with a subtle abbey yeast character and a mildly sw
373,Father Time,Belgian Enkel / Patersbier,15,4.8,Belgian Enkel / Patersbier
374,Muur,Belgian Enkel / Patersbier,40,5.1,Belgian Enkel / Patersbier
377,Patersbier,Belgian Enkel / Patersbier,35,5.6,Belgian Enkel / Patersbier
378,Highway of Diamonds,Belgian Enkel / Patersbier,33,4.7,Belgian Enkel / Patersbier
383,Lupulinophobia Ver 1,Belgian Enkel / Patersbier,18,4.8,Belgian Enkel / Patersbier
384,Odin’s Table Bier,Belgian Enkel / Patersbier,20,4.2,Patersbier style beer that Belgian Monks make excusively for themselves to drink. Super light and refreshing B
388,Lupulinophobia Ver 4,Belgian Enkel / Patersbier,18,4.8,Belgian Enkel / Patersbier
390,Wandering And Cosmic Consciousness,Belgian Enkel / Patersbier,17,5.2,Belgian Enkel / Patersbier
395,Loonie,Belgian Enkel / Patersbier,16,4.5,Belgian Enkel / Patersbier
396,Trappist Ale,Belgian Enkel / Patersbier,23,6.5,"America's First Trappist Beer.
Our recipe was inspired by the traditional refectory ales known as patersbier (“fathers’ beer” in Flemish) in Belgium. These sessionable beers are brewed by the monks for their dinner table and are typically only available at the monastery. Spencer is a full-bodied, golden-hued ale with fruity accents, a dry finish and light hop bitterness. The beer is unfiltered and unpasteurized, preserving live yeast that naturally carbonates the beer in the bottle and keg and contributes to the beer flavor and aroma.
Read Less"
398,The Archer at the Gates,Belgian Enkel / Patersbier,18,3.7,Belgian Enkel / Patersbier
399,820 A.D.,Belgian Enkel / Patersbier,14,4.4,Belgian Enkel / Patersbier
402,"Luke, I Am Your Pater",Belgian Enkel / Patersbier,15,3.4,"If it’s good enough for the monks, it’s good enough for us! In addition to being the most misquoted line from our favorite space opera…Luke, I Am Your Pater is a Belgian-style patersbier, or single. This style was originally brewed by the monks that needed sustenance without the “enlightenment” that the other bigger Belgian-styles offer. This beer has the essence of apricots, hard biscuits, and notes of honeysuckle. It is very dry and easy drinking, and with just enough hops to bring balance to the force, er, beer. Search your feelings, you know it to be true, you want this beer! Read Less"
403,Goats of the First Order,Belgian Enkel / Patersbier,22,4.2,"Goats of the First Order is a flavorful session beer coming in at 4.2% ABV. This is a beer you can keep on drinking and drinking and drinking. Bright, but with a malty middle and dry, refreshing finish, Goats of the First Order is a great beer to have with friends…and your enemies. Read Less"
409,Belgian Singel,Belgian Enkel / Patersbier,25,5.1,"A light, straw-colored Belgian-style beer brewed to grow up enough yeast to ferment our stronger Belgian-style beers. We figured we might as well brew a great tasting beer while we were at it! Read Less"
412,Bishop's Barrel No. 13,Belgian Quadrupel,20,12.0,"The base beer for Bishop’s Barrel No. 13 is, fittingly, Divine Reserve No. 13, our big, but drinkable Quad. BB13 pours a dark brown color with ruby highlights that supports a thin, khaki colored head that dissipates slowly. The high alcohol shows itself visually with legs that stick to the glass when swirled. The aroma brings forth a bouquet of bourbon, vanilla and Belgian yeast characteristics. As it warms, a liquid dessert is brought forth with aromas similar to flan and bananas foster.

The flavor is sweet throughout without being cloying - a palate of sweet, sticky toffee with a nice dark fruit/cherry parfait accompaniment. The barrel shows itself with bourbon and subtle chocolate notes with a soft tannic finish. A full bodied beer with a soft CO2 bite and alcohol that warms the throat without being aggressive. Read Less"
418,Buffalo Trace Barrel-aged Moulin Bruges (2020),Belgian Quadrupel,23,17.4,"O.H.S.O. Gilbert - Quadrupel aged 26 months in Buffalo Trace Bourbon barrels. Finished on fresh toasted walnuts, hazelnuts and coconut, and Ugandan vanilla beans. Dangerously smooth with layered complexity. Read Less"
421,Lion's Share IV: Anniversary Ale,Belgian Quadrupel,39,12.4,"Lion’s Share IV, our fourth anniversary beer, is a Belgian-style Quad aged in freshly-emptied brandy barrels. Paying homage to our Trappist brethren in Belgium with our own interpretation of the style, this big, boozy, robust beer is brewed with rich caramel and roasted malts, Belgian candi sugar, and our house Belgian yeast. After months of resting and maturing in brandy barrels, it now displays an array of flavors while maintaining a nice balance throughout. The brandy’s unique characteristics perfectly compliment this bold beer, with notes of dried cherries, figs, raisins, and toffee intermingling with a subtle warmth in the finish. Read Less"
422,Grand Cru,Belgian Quadrupel,31,13.0,"Composed of carefully selected lots of Bourbon Barrel Quad and whiskey barrel-aged Imperial Stout, our brewers have conspired to create a blend that effortlessly expresses the most distinctive elements of each beer, creating a delicious whole that’s even greater than the sum of its parts. Read Less"
427,Charred Walls of the Damned,Belgian Quadrupel,30,13.0,Belgian Quadrupel
428,Wizard Burial Ground (December 2016),Belgian Quadrupel,27,12.3,Belgian Quadrupel
430,Carolus Magnus,Belgian Quadrupel,60,14.0,"Carolus Magnus is a Belgian inspired quadrupel ale. The addition of figs and raisins and an extended aging in Armagnac barrels have yielded a dry and complex treat. On the nose, aromas of raisins, honey, and oak dominate. The taste is layered by flavors of fruits, belgian yeast, and caramel. Carolus Magnus is a warm and delicious drink. Read Less"
431,Brewer's Reserve Bourbon Barrel Belgian Style Quad,Belgian Quadrupel,26,11.9,Belgian Quadrupel
435,Trip in the Woods: Rum-Barrel-Aged Quad,Belgian Quadrupel,45,11.7,Belgian Quadrupel
444,Wizard Burial Ground,Belgian Quadrupel,27,10.8,Belgian Quadrupel
447,Bishop's Barrel No. 21,Belgian Quadrupel,30,12.5,"Bishop’s Barrel No. 21 is a Belgian Quadrupel aged in Woodford Reserve Bourbon Barrels with Cherries. The base beer is our Divine Reserve No. 13 recipe, which we rebrewed, barreled, fruited, and aged for 15 months. The beer pours a dark mahogany color with a tan head. The aroma bursts with baked cherries soaked in bourbon. You’ll taste notes of honey, maple syrup, toffee, and graham cracker. The quad base can be found with notes of fig and dates, while the sweetness adds some body to provide a backbone to balance the high alcohol (12.5% ABV). Read Less"
448,False Summit,Belgian Quadrupel,30,11.1,Belgian Quadrupel
450,Barrel-Aged Three Philosophers,Belgian Quadrupel,5,12.0,Our world-renowned Belgian-Style Quadrupel aged gracefully in Bourb
456,Divine Reserve No. 13,Belgian Quadrupel,26,11.0,"For this Quad, the goal was to go as big as possible while still being as drinkable as any other beer you might pull off the shelf.

The aroma is distinctly Belgian and has a hint of fruit. As with most Belgian beers, the hops are primarily used for bitterness and provide little to no flavor or aroma. We kept the malt bill relatively simple to allow each malt to come through in its own way without getting all muddled together. The caramel and chocolate malts, in particular, work well together and you can taste each of them in the beer. We also added a large amount of Belgian Extra Dark Candi Syrup during fermentation, which darkened the color, imparted dark fruit-like flavors, and boosted the alcohol. Despite its high strength though, the alcohol only comes out as a warmth on the back end but is not over powering. The aftertaste is slightly sweet but also has a dryness that makes you want more.

This beer is best enjoyed at 50°F to 55°F. Read Less"
